epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.566,1.54582,5.01858,1.16272,0,0,0,0,1.02673,5.05322,0.95403,1.2e-05,1.2e-05,1.2e-05
2,55.1648,1.35134,4.98231,1.08953,0,0,0,0,1.20572,4.95649,0.94357,2.77228e-05,2.77228e-05,2.77228e-05
3,85.5129,1.24398,4.81938,1.04731,0,0,0,0,1.43596,4.91073,0.95047,4.31288e-05,4.31288e-05,4.31288e-05
4,112.644,1.20974,4.65335,0.99285,0,0,0,0,1.35545,4.84197,0.92821,5.8218e-05,5.8218e-05,5.8218e-05
5,138.373,1.22297,4.52501,1.00056,0,0,0,0,1.1633,4.80259,0.89402,7.29904e-05,7.29904e-05,7.29904e-05
6,161.926,1.15111,4.35142,0.96411,0,0,0,0,1.01487,4.77785,0.86858,8.7446e-05,8.7446e-05,8.7446e-05
7,186.124,1.20732,4.27236,0.97408,0,0,0,0,0.95598,4.75004,0.85599,0.000101585,0.000101585,0.000101585
8,212.473,1.1081,4.13095,0.95356,0,0,0,0,0.96609,4.69775,0.85502,0.000115407,0.000115407,0.000115407
9,237.549,1.11233,3.91264,0.948,0,0,0,0,0.96393,4.62812,0.85316,0.000128912,0.000128912,0.000128912
10,265.234,1.13528,3.6712,0.96697,0.01,0.01429,0.00675,0.0054,0.93888,4.52196,0.84714,0.0001421,0.0001421,0.0001421
11,304.02,1.10654,3.62247,0.93784,0.07695,0.21286,0.07861,0.06451,0.94159,4.37895,0.84911,0.000154972,0.000154972,0.000154972
12,347.61,1.08501,3.37605,0.96435,0.04923,0.36786,0.0917,0.07285,0.94341,4.20268,0.8547,0.000167527,0.000167527,0.000167527
13,387.806,1.09222,3.18853,0.9677,0.0567,0.5,0.10804,0.08612,0.95028,4.01604,0.86064,0.000179765,0.000179765,0.000179765
14,418.269,1.06096,3.14695,0.92395,0.05346,0.57143,0.11806,0.09244,0.96176,3.91118,0.86488,0.000191686,0.000191686,0.000191686
15,439.367,1.05478,2.95602,0.94203,0.04891,0.68571,0.15069,0.11823,0.9805,3.72758,0.86629,0.00020329,0.00020329,0.00020329
16,457.765,1.02524,2.92052,0.92593,0.05376,0.75714,0.17249,0.13638,0.95976,3.64695,0.86337,0.000214578,0.000214578,0.000214578
17,476.854,1.0344,2.93023,0.91011,0.05137,0.76429,0.19592,0.15015,0.96245,3.59167,0.86366,0.000225549,0.000225549,0.000225549
18,495.786,1.01554,2.70906,0.90968,0.0535,0.8,0.21744,0.16357,0.98326,3.50015,0.86645,0.000236203,0.000236203,0.000236203
19,514.772,0.99431,2.58659,0.92985,0.05285,0.8,0.24062,0.17834,0.96265,3.44087,0.86766,0.00024654,0.00024654,0.00024654
20,534.004,0.99193,2.58367,0.90418,0.05294,0.8,0.25737,0.19175,0.96812,3.35597,0.87179,0.00025656,0.00025656,0.00025656
21,553.23,1.01372,2.46824,0.90754,0.30641,0.62919,0.29337,0.21465,0.92522,3.09741,0.86502,0.000266264,0.000266264,0.000266264
22,572.619,0.95737,2.3361,0.89952,0.38545,0.40045,0.29939,0.21069,0.94682,2.9699,0.87025,0.000275651,0.000275651,0.000275651
23,593.286,0.97777,2.31357,0.91337,0.59325,0.26203,0.31198,0.21992,0.95881,2.89563,0.87249,0.000284721,0.000284721,0.000284721
24,613.092,0.95118,2.26677,0.9161,0.60238,0.25146,0.32734,0.23702,0.93773,2.88295,0.87117,0.000293474,0.000293474,0.000293474
25,633.203,0.99358,2.30629,0.89696,0.57531,0.26203,0.3482,0.25433,0.92926,2.86382,0.86864,0.00030191,0.00030191,0.00030191
26,653.611,0.95879,2.22404,0.89425,0.59232,0.24851,0.36009,0.26776,0.91478,2.8286,0.86584,0.000301,0.000301,0.000301
